sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
1,all_gene,3,90,3.259714842,3.430709839,1.316922426,1.354245782,0.03982985,0.041783035,1.805468082,1.852217555
1,all_gene,4,90,3.437635183,3.327901602,1.365271807,1.329036117,0.041898489,0.040554047,1.854086041,1.824253678
1,all_gene,5,90,3.245708227,3.659571171,1.314133525,1.406275153,0.03970021,0.044635057,1.801584959,1.913000584
1,all_gene,6,90,3.313097477,3.41605258,1.32002449,1.358834743,0.041040421,0.041513741,1.820191622,1.848256588
1,all_gene,7,90,3.348047256,3.293186426,1.348111033,1.325746536,0.041344464,0.039473891,1.829766989,1.814713836
1,all_gene,8,90,3.688444614,3.632228374,1.406055808,1.402251124,0.04522264,0.044227004,1.920532346,1.905840635
1,all_gene,9,90,3.492294073,3.191787481,1.363527417,1.31100893,0.042748451,0.038413286,1.868768096,1.786557436
1,all_gene,0,120,3.679268837,3.440418482,1.410780311,1.371369839,0.044792473,0.041948676,1.91814208,1.854836464
1,all_gene,1,120,3.625648499,3.801928997,1.413707018,1.445675731,0.043692768,0.046699166,1.904113531,1.949853539
1,all_gene,2,120,3.575594664,3.424460888,1.390737891,1.365084767,0.04340893,0.041182399,1.890924335,1.850529909
1,all_gene,3,120,3.449222565,3.618354082,1.36955297,1.40782249,0.041865766,0.043703794,1.857208252,1.902197123
1,all_gene,4,120,3.655576468,3.52016902,1.424851537,1.384160519,0.044229925,0.04252696,1.911956191,1.876211405
1,all_gene,5,120,3.425091982,3.848840475,1.365752816,1.45813787,0.041523874,0.046640038,1.850700378,1.961846232
1,all_gene,6,120,3.489560127,3.614032745,1.369378328,1.415184736,0.042925835,0.043528497,1.868036389,1.901060939
1,all_gene,7,120,3.559110403,3.506902218,1.404548645,1.38371563,0.043644845,0.041761816,1.88656044,1.872672439
1,all_gene,8,120,3.882016182,3.873542547,1.45855689,1.465917706,0.047304034,0.04687959,1.97028327,1.968131781
1,all_gene,9,120,3.677670956,3.373342752,1.414904594,1.364187717,0.04470247,0.040156245,1.917725444,1.836666226
